dropoffTaxiZone,pickupTaxiZone,vendorID,pickupTime,dropoffTime,passengerCount,tripDistance,paymentType,fareAmount,extraFees,mtaTax,tipAmount,tollAmount,improvementSurcharge,totalAmount,congestionSurcharge,tipPercentage,pickupTimeChunk,dropoffTimeChunk,percentagePopulationAbove65_Pickup,percentagePopulationInPoverty_Pickup,percentageHispanic_Pickup,percentageWhite_Pickup,percentageAfricanAmerican_Pickup,percentageAsian_Pickup,percentageOther_Pickup,percentagePopulationAbove65_Dropoff,percentagePopulationInPoverty_Dropoff,percentageHispanic_Dropoff,percentageWhite_Dropoff,percentageAfricanAmerican_Dropoff,percentageAsian_Dropoff,percentageOther_Dropoff,tipQuality
263,141,2,1/15/2021 0:13,1/15/2021 0:16,1,1.09,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,17.3,8.7,10.7,75,2.5,9.4,2.4,0
164,170,1,1/15/2021 0:12,1/15/2021 0:16,1,0.9,1,5,3,0.5,5,0,0.3,13.8,2.5,0.568181818,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,14.4,15.1,9.8,61.5,4.5,20.8,3.3,1
231,249,2,1/15/2021 3:22,1/15/2021 3:26,1,1.01,1,5,0.5,0.5,2,0,0.3,10.8,2.5,0.227272727,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,13.3,14.4,6.3,66.2,2.2,21.5,3.8,1
88,75,2,1/15/2021 0:07,1/15/2021 0:23,1,8.06,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.1,28.4,44,19.7,23.4,11.1,1.8,7,17,7.4,66.5,2.4,19.9,3.9,1
42,39,2,1/15/2021 3:16,1/15/2021 4:00,2,20.74,1,57.5,0.5,0.5,2.75,6.12,0.3,67.67,0,0.042359827,12:00 AM - 3:59 AM,4:00 AM - 7:59 AM,13.2,11.7,7.1,4.7,83.7,2.9,1.6,10.6,26.3,25.8,10.1,58.7,2.1,3.3,0
137,137,2,1/15/2021 0:12,1/15/2021 0:21,1,3.07,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,15.5,13.6,9.2,62.5,4.6,19.8,3.9,0
162,100,2,1/15/2021 0:11,1/15/2021 0:18,4,1.83,1,7.5,0.5,0.5,1.88,0,0.3,13.18,2.5,0.166371681,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,25,5.2,4.9,75.1,1.4,16.2,2.5,0
233,162,2,1/15/2021 1:03,1/15/2021 1:07,1,1.21,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5,0.25,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,25,5.2,4.9,75.1,1.4,16.2,2.5,1
237,107,2,1/15/2021 0:06,1/15/2021 0:12,1,2.73,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,12.2,6.7,7.7,70.6,3.9,15.4,2.5,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
237,237,2,1/15/2021 1:19,1/15/2021 1:21,1,0.3,1,3.5,0.5,0.5,2.19,0,0.3,9.49,2.5,0.3,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
229,161,2,1/15/2021 0:10,1/15/2021 0:14,1,0.81,1,5,0.5,0.5,2.64,0,0.3,11.44,2.5,0.3,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,25,5.2,4.9,75.1,1.4,16.2,2.5,1
163,79,1,1/15/2021 1:51,1/15/2021 2:01,1,3.1,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0.199324324,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,10.7,17.4,12.4,64.9,6.7,13.7,2.3,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
95,263,1,1/15/2021 3:23,1/15/2021 3:45,1,10.3,1,29.5,3,0.5,8.3,0,0.3,41.6,2.5,0.249249249,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.3,8.7,10.7,75,2.5,9.4,2.4,20,13.8,15.8,49.9,2.4,27.5,4.4,1
200,44,2,1/15/2021 0:46,1/15/2021 1:31,1,40.6,1,106,0.5,0.5,2.75,21,0.3,131.05,0,0.021434139,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,11.4,8.4,9.8,85.5,0.9,3.3,0.6,25.6,9.8,21.6,61.8,8.9,5.1,2.6,0
127,142,1,1/15/2021 0:44,1/15/2021 0:57,2,8.7,1,25,3,0.5,5.75,0,0.3,34.55,2.5,0.199652778,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,21.1,8.4,10.4,69.4,4.2,13,3,13.3,24.8,71.5,16.8,7.4,2.6,1.8,0
238,88,2,1/15/2021 0:29,1/15/2021 0:55,1,7.17,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,7,17,7.4,66.5,2.4,19.9,3.9,20.3,11.7,16.6,67.3,5.9,7.3,2.8,1
76,42,2,1/15/2021 2:17,1/15/2021 2:53,2,21.76,1,59,0.5,0.5,2.75,6.12,0.3,69.17,0,0.041403192,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,10.6,26.3,25.8,10.1,58.7,2.1,3.3,10.7,25.3,28.9,1.9,64.8,2.4,1.9,0
238,162,1,1/15/2021 1:04,1/15/2021 1:15,1,3.4,1,12,3,0.5,0,0,0.3,15.8,2.5,0,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,20.3,11.7,16.6,67.3,5.9,7.3,2.8,0
